Locality Name,"Post
Code","Municipality
Name","Ward
Name",LGA,"District
Name","District
Code","Region
Name","Region
Code","Property
Count","Elector
Count"
Elliminyt,3250,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,70,Western Victoria,8,1048,2021
Ellinbank,3821,Baw Baw Shire Council,Mount Worth,53502,Narracan,62,Eastern Victoria,2,87,157
Elmhurst,3469,Ararat Rural City Council,Unsubdivided,51401,Ripon,74,Western Victoria,8,98,141
Elmhurst,3469,Pyrenees Shire Council,De Cameron,51903,Ripon,74,Western Victoria,8,13,24
Elmore,3558,Greater Bendigo City Council,Whipstick,50203,Bendigo East,10,Northern Victoria,4,2,1
Elmore,3558,Greater Bendigo City Council,Whipstick,50203,Rodney,75,Northern Victoria,4,408,605
Elphinstone,3448,Mount Alexander Shire Council,Calder,56701,Bendigo West,11,Northern Victoria,4,16,28
Elphinstone,3448,Mount Alexander Shire Council,Coliban,56703,Bendigo West,11,Northern Victoria,4,229,381
Elsternwick,3185,Glen Eira City Council,Camden,54601,Caulfield,21,Southern Metropolitan,6,4690,6812
Eltham,3095,Banyule City Council,Hawdon,54005,Eltham,27,Eastern Metropolitan,1,61,106
Eltham,3095,Nillumbik Shire Council,Edendale,55803,Eltham,27,Eastern Metropolitan,1,521,1106
Eltham,3095,Nillumbik Shire Council,Sugarloaf,55805,Eltham,27,Eastern Metropolitan,1,1,4
Eltham,3095,Nillumbik Shire Council,Sugarloaf,55805,Yan Yean,87,Northern Metropolitan,3,32,64
Eltham,3095,Nillumbik Shire Council,Swipers Gully,55806,Eltham,27,Eastern Metropolitan,1,3058,6412
Eltham,3095,Nillumbik Shire Council,Wingrove,55807,Eltham,27,Eastern Metropolitan,1,3163,6143
Eltham North,3095,Banyule City Council,Beale,54002,Eltham,27,Eastern Metropolitan,1,771,1806
Eltham North,3095,Nillumbik Shire Council,Edendale,55803,Eltham,27,Eastern Metropolitan,1,1548,3504
Elwood,3184,Port Phillip City Council,Catani,51103,Albert Park,1,Southern Metropolitan,6,397,475
Elwood,3184,Port Phillip City Council,Point Ormond,51106,Albert Park,1,Southern Metropolitan,6,5424,6286
Elwood,3184,Port Phillip City Council,Point Ormond,51106,Brighton,14,Southern Metropolitan,6,2902,3331
Emerald,3782,Cardinia Shire Council,Ranges,54303,Gembrook,35,Eastern Victoria,2,2098,3866
Emerald,3782,Yarra Ranges Shire Council,Chandler,56202,Monbulk,55,Eastern Victoria,2,95,176
Emerald,3782,Yarra Ranges Shire Council,Lyster,56204,Monbulk,55,Eastern Victoria,2,32,59
Emu,3475,Loddon Shire Council,Wedderburn,56505,Swan Hill,82,Northern Victoria,4,3,6
Emu,3475,Northern Grampians Shire Council,Kara Kara,57402,Swan Hill,82,Northern Victoria,4,22,36
Emu Creek,3551,Greater Bendigo City Council,Eppalock,50201,Bendigo East,10,Northern Victoria,4,123,271
Endeavour Hills,3802,Casey City Council,Four Oaks,54403,Dandenong,24,South Eastern Metropolitan,5,1603,3132
Endeavour Hills,3802,Casey City Council,Four Oaks,54403,Narre Warren North,63,South Eastern Metropolitan,5,6743,13959
Enfield,3352,Golden Plains Shire Council,Unsubdivided,50501,Ballarat East,3,Western Victoria,8,200,362
Enfield,3352,Golden Plains Shire Council,Unsubdivided,50501,Polwarth,70,Western Victoria,8,1,2
Englefield,3407,Southern Grampians Shire Council,Unsubdivided,52001,Lowan,46,Western Victoria,8,8,13
Ensay,3895,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,36,Eastern Victoria,2,71,92
Ensay North,3895,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,36,Eastern Victoria,2,17,18
Eppalock,3551,Greater Bendigo City Council,Eppalock,50201,Bendigo East,10,Northern Victoria,4,249,463
Epping,3076,Whittlesea City Council,South East,56002,Mill Park,53,Northern Metropolitan,3,633,1175
Epping,3076,Whittlesea City Council,South East,56002,Yan Yean,87,Northern Metropolitan,3,1482,2723
Epping,3076,Whittlesea City Council,South West,56003,Mill Park,53,Northern Metropolitan,3,1828,3126
Epping,3076,Whittlesea City Council,South West,56003,Thomastown,84,Northern Metropolitan,3,402,813
Epping,3076,Whittlesea City Council,South West,56003,Yan Yean,87,Northern Metropolitan,3,5309,9867
Epsom,3551,Greater Bendigo City Council,Whipstick,50203,Bendigo East,10,Northern Victoria,4,1339,2235
Ercildoune,3352,Ballarat City Council,North,50302,Ripon,74,Western Victoria,8,9,18
Ercildoune,3352,Pyrenees Shire Council,Ercildoune,51904,Ripon,74,Western Victoria,8,24,35
Erica,3825,Baw Baw Shire Council,North,53503,Narracan,62,Eastern Victoria,2,114,154
Eskdale,3701,Towong Shire Council,Unsubdivided,53201,Benambra,9,Northern Victoria,4,120,206
Esmond,3730,Moira Shire Council,Unsubdivided,52901,Murray Valley,61,Northern Victoria,4,6,8
Essendon,3040,Moonee Valley City Council,Buckley,55601,Essendon,28,Western Metropolitan,7,6326,9915
Essendon,3040,Moonee Valley City Council,Buckley,55601,Niddrie,66,Western Metropolitan,7,1698,2890
Essendon,3040,Moonee Valley City Council,Myrnong,55602,Essendon,28,Western Metropolitan,7,506,864
Essendon North,3041,Moonee Valley City Council,Buckley,55601,Essendon,28,Western Metropolitan,7,1070,1580
Essendon West,3040,Moonee Valley City Council,Buckley,55601,Niddrie,66,Western Metropolitan,7,75,158
Essendon West,3040,Moonee Valley City Council,Rose Hill,55603,Niddrie,66,Western Metropolitan,7,478,812
Eumemmerring,3177,Casey City Council,River Gum,54405,Dandenong,24,South Eastern Metropolitan,5,795,1153
Eurack,3251,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,70,Western Victoria,8,24,40
Eureka,3350,Ballarat City Council,Central,50301,Ballarat East,3,Western Victoria,8,287,454
Euroa,3666,Strathbogie Shire Council,Mount Wombat,53104,Benalla,8,Northern Victoria,4,78,150
Euroa,3666,Strathbogie Shire Council,Seven Creeks,53105,Benalla,8,Northern Victoria,4,1603,2365
Eurobin,3739,Alpine Shire Council,Unsubdivided,52201,Benalla,8,Northern Victoria,4,92,165
Evansford,3371,Hepburn Shire Council,Cameron,56402,Ripon,74,Western Victoria,8,5,7
Evansford,3371,Pyrenees Shire Council,Ercildoune,51904,Ripon,74,Western Victoria,8,58,88
Eversley,3377,Ararat Rural City Council,Unsubdivided,51401,Ripon,74,Western Victoria,8,6,12
Everton,3678,Wangaratta Rural City Council,Unsubdivided,52701,Murray Valley,61,Northern Victoria,4,81,139
Everton Upper,3678,Wangaratta Rural City Council,Unsubdivided,52701,Murray Valley,61,Northern Victoria,4,64,123
Exford,3338,Melton City Council,Cambridge,55401,Melton,51,Western Victoria,8,42,87
Eynesbury,3338,Melton City Council,Cambridge,55401,Melton,51,Western Victoria,8,534,945
Fairbank,3951,South Gippsland Shire Council,Strzelecki,53802,Gippsland South,37,Eastern Victoria,2,12,23
Fairfield,3078,Darebin City Council,Rucker,50803,Northcote,67,Northern Metropolitan,3,2585,3765
Fairfield,3078,Yarra City Council,Langridge,51301,Northcote,67,Northern Metropolitan,3,204,359
Fairhaven,3231,Surf Coast Shire Council,Anglesea,50101,Polwarth,70,Western Victoria,8,244,263
Fairley,3579,Gannawarra Shire Council,Avoca,57201,Swan Hill,82,Northern Victoria,4,9,15
Fairy Dell,3561,Campaspe Shire Council,Kyabram-Deakin,52302,Rodney,75,Northern Victoria,4,19,43
Fairy Dell,3561,Campaspe Shire Council,Rochester,52303,Rodney,75,Northern Victoria,4,12,34
Falls Creek,3699,Unincorporated Land (victoria),Not Resident In Any Municipality,99901,Benalla,8,Northern Victoria,4,141,97
Faraday,3451,Mount Alexander Shire Council,Calder,56701,Bendigo West,11,Northern Victoria,4,77,131
Faraday,3451,Mount Alexander Shire Council,Coliban,56703,Bendigo West,11,Northern Victoria,4,2,3
Fawcett,3714,Murrindindi Shire Council,Koriella,53006,Benalla,8,Northern Victoria,4,30,46
Fawkner,3060,Hume City Council,Aitken,54801,Broadmeadows,15,Northern Metropolitan,3,89,128
Fawkner,3060,Moreland City Council,North-East,51001,Thomastown,84,Northern Metropolitan,3,4676,7738
Fentons Creek,3518,Loddon Shire Council,Wedderburn,56505,Swan Hill,82,Northern Victoria,4,15,25
Ferguson,3237,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,70,Western Victoria,8,10,7
Fern Hill,3458,Hepburn Shire Council,Coliban,56403,Ballarat East,3,Western Victoria,8,19,24
Fern Hill,3458,Macedon Ranges Shire Council,West,56603,Ballarat East,3,Western Victoria,8,18,37
Fern Hill,3458,Macedon Ranges Shire Council,West,56603,Macedon,48,Northern Victoria,4,3,6
Fernbank,3864,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,36,Eastern Victoria,2,68,118
Fernbank,3864,Wellington Shire Council,Unsubdivided,53901,Gippsland East,36,Eastern Victoria,2,4,5
Ferndale,3821,Baw Baw Shire Council,Mount Worth,53502,Narracan,62,Eastern Victoria,2,24,46
Fernihurst,3518,Loddon Shire Council,Boort,56501,Swan Hill,82,Northern Victoria,4,11,22
Ferntree Gully,3156,Knox City Council,Baird,55001,Ferntree Gully,30,Eastern Metropolitan,1,2702,4835
Ferntree Gully,3156,Knox City Council,Chandler,55002,Ferntree Gully,30,Eastern Metropolitan,1,99,155
Ferntree Gully,3156,Knox City Council,Dinsdale,55004,Bayswater,6,Eastern Metropolitan,1,63,146
Ferntree Gully,3156,Knox City Council,Dobson,55005,Ferntree Gully,30,Eastern Metropolitan,1,4781,8436
Ferntree Gully,3156,Knox City Council,Friberg,55006,Ferntree Gully,30,Eastern Metropolitan,1,2733,5054
Ferntree Gully,3156,Knox City Council,Friberg,55006,Scoresby,77,Eastern Metropolitan,1,47,70
Ferntree Gully,3156,Knox City Council,Scott,55007,Scoresby,77,Eastern Metropolitan,1,56,78
Ferny Creek,3786,Yarra Ranges Shire Council,Streeton,56208,Monbulk,55,Eastern Victoria,2,597,1109
Fiery Flat,3518,Loddon Shire Council,Wedderburn,56505,Swan Hill,82,Northern Victoria,4,9,12
Fingal,3939,Mornington Peninsula Shire Council,Red Hill,55704,Nepean,65,Eastern Victoria,2,214,340
Fish Creek,3959,South Gippsland Shire Council,Coastal-Promontory,53801,Gippsland South,37,Eastern Victoria,2,36,63
Fish Creek,3959,South Gippsland Shire Council,Strzelecki,53802,Gippsland South,37,Eastern Victoria,2,156,284
Fish Creek,3959,South Gippsland Shire Council,Tarwin Valley,53803,Gippsland South,37,Eastern Victoria,2,185,286
Fish Point,3585,Swan Hill Rural City Council,Lakes,57002,Swan Hill,82,Northern Victoria,4,14,23
Fiskville,3342,Moorabool Shire Council,Central Moorabool,50401,Ballarat East,3,Western Victoria,8,8,10
Fitzroy,3065,Yarra City Council,Langridge,51301,Richmond,73,Northern Metropolitan,3,2833,3278
Fitzroy,3065,Yarra City Council,Nicholls,51303,Richmond,73,Northern Metropolitan,3,2598,3514
Fitzroy North,3068,Moreland City Council,South,51003,Brunswick,16,Northern Metropolitan,3,374,605
Fitzroy North,3068,Yarra City Council,Langridge,51301,Richmond,73,Northern Metropolitan,3,2,1
Fitzroy North,3068,Yarra City Council,Nicholls,51303,Brunswick,16,Northern Metropolitan,3,1706,2531
Fitzroy North,3068,Yarra City Council,Nicholls,51303,Richmond,73,Northern Metropolitan,3,3863,5695
Flaggy Creek,3875,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,36,Eastern Victoria,2,40,69
Flagstaff,3465,Central Goldfields Shire Council,Maryborough,56302,Ripon,74,Western Victoria,8,6,15
Flagstaff,3465,Central Goldfields Shire Council,Tullaroop,56304,Ripon,74,Western Victoria,8,32,51
Flamingo Beach,3851,Wellington Shire Council,Unsubdivided,53901,Gippsland South,37,Eastern Victoria,2,1,1
Flemington,3031,Melbourne City Council,Unsubdivided,50001,Melbourne,50,Northern Metropolitan,3,40,35
Flemington,3031,Moonee Valley City Council,Myrnong,55602,Essendon,28,Western Metropolitan,7,133,193
Flemington,3031,Moonee Valley City Council,Myrnong,55602,Melbourne,50,Northern Metropolitan,3,3244,4448
Flinders,3929,Mornington Peninsula Shire Council,Red Hill,55704,Nepean,65,Eastern Victoria,2,667,731
Flora Hill,3550,Greater Bendigo City Council,Eppalock,50201,Bendigo East,10,Northern Victoria,4,1781,2534
Flowerdale,3717,Murrindindi Shire Council,Cheviot,53002,Seymour,78,Northern Victoria,4,117,194
Flynn,3844,Latrobe City Council,East,53702,Morwell,58,Eastern Victoria,2,44,93
Flynn,3844,Wellington Shire Council,Unsubdivided,53901,Gippsland South,37,Eastern Victoria,2,15,31
Flynn,3844,Wellington Shire Council,Unsubdivided,53901,Morwell,58,Eastern Victoria,2,1,1
Flynns Creek,3844,Latrobe City Council,East,53702,Morwell,58,Eastern Victoria,2,3,6
Flynns Creek,3844,Wellington Shire Council,Unsubdivided,53901,Gippsland South,37,Eastern Victoria,2,6,12
Footscray,3011,Maribyrnong City Council,River,55201,Footscray,31,Western Metropolitan,7,3395,4002
Footscray,3011,Maribyrnong City Council,Stony Creek,55202,Footscray,31,Western Metropolitan,7,299,409
Footscray,3011,Maribyrnong City Council,Yarraville,55203,Footscray,31,Western Metropolitan,7,2884,3738
Forbes,3764,Mitchell Shire Council,Central,52801,Seymour,78,Northern Victoria,4,50,94
Forest Hill,3131,Whitehorse City Council,Central,55901,Forest Hill,32,Eastern Metropolitan,1,833,1347
Forest Hill,3131,Whitehorse City Council,Morack,55903,Forest Hill,32,Eastern Metropolitan,1,2343,3879
Forest Hill,3131,Whitehorse City Council,Springfield,55905,Mitcham,54,Eastern Metropolitan,1,1061,1725
Forge Creek,3875,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,36,Eastern Victoria,2,99,181
Forrest,3236,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,70,Western Victoria,8,146,174
Foster,3960,South Gippsland Shire Council,Coastal-Promontory,53801,Gippsland South,37,Eastern Victoria,2,897,1307
Foster,3960,South Gippsland Shire Council,Tarwin Valley,53803,Gippsland South,37,Eastern Victoria,2,97,170
Foster North,3960,South Gippsland Shire Council,Tarwin Valley,53803,Gippsland South,37,Eastern Victoria,2,90,131
Fosterville,3557,Greater Bendigo City Council,Whipstick,50203,Bendigo East,10,Northern Victoria,4,29,41
Foxhow,3323,Corangamite Shire Council,North,51603,Polwarth,70,Western Victoria,8,13,25
Framlingham,3265,Moyne Shire Council,Unsubdivided,51801,Polwarth,70,Western Victoria,8,10,20
Framlingham,3265,Moyne Shire Council,Unsubdivided,51801,South-West Coast,81,Western Victoria,8,36,52
Framlingham East,3265,Moyne Shire Council,Unsubdivided,51801,Polwarth,70,Western Victoria,8,10,20
Franklinford,3461,Hepburn Shire Council,Birch,56401,Ballarat East,3,Western Victoria,8,25,35
Franklinford,3461,Hepburn Shire Council,Holcombe,56405,Ballarat East,3,Western Victoria,8,3,6
Franklinford,3461,Mount Alexander Shire Council,Loddon River,56704,Bendigo West,11,Northern Victoria,4,2,5
Frankston,3199,Frankston City Council,North-West,54502,Frankston,33,South Eastern Metropolitan,5,7692,11042
Frankston,3199,Frankston City Council,South,54503,Frankston,33,South Eastern Metropolitan,5,8867,12808
Frankston North,3200,Frankston City Council,North-East,54501,Cranbourne,23,South Eastern Metropolitan,5,1,4
Frankston North,3200,Frankston City Council,North-West,54502,Cranbourne,23,South Eastern Metropolitan,5,2464,3498
Frankston South,3199,Frankston City Council,South,54503,Frankston,33,South Eastern Metropolitan,5,7393,13186
Freeburgh,3741,Alpine Shire Council,Unsubdivided,52201,Benalla,8,Northern Victoria,4,70,100
French Island,3921,Unincorporated Land (victoria),Not Resident In Any Municipality,99901,Hastings,38,Eastern Victoria,2,80,100
Frenchmans,3384,Pyrenees Shire Council,De Cameron,51903,Ripon,74,Western Victoria,8,7,15
Freshwater Creek,3217,Surf Coast Shire Council,Winchelsea,50104,South Barwon,80,Western Victoria,8,168,340
Fryerstown,3451,Mount Alexander Shire Council,Coliban,56703,Bendigo West,11,Northern Victoria,4,100,161
Fulham,3851,Wellington Shire Council,Unsubdivided,53901,Gippsland South,37,Eastern Victoria,2,70,127
Fumina,3825,Baw Baw Shire Council,North,53503,Narracan,62,Eastern Victoria,2,8,7
Fumina South,3825,Baw Baw Shire Council,North,53503,Narracan,62,Eastern Victoria,2,26,46
Fyans Creek,3381,Northern Grampians Shire Council,South West,57403,Ripon,74,Western Victoria,8,17,31
Fyansford,3218,Greater Geelong City Council,Kildare,50611,Geelong,34,Western Victoria,8,6,6
Fyansford,3218,Greater Geelong City Council,Kildare,50611,Polwarth,70,Western Victoria,8,78,137
Gaffneys Creek,3723,Mansfield Shire Council,Jamieson,58002,Benalla,8,Northern Victoria,4,6,6
Gainsborough,3822,Baw Baw Shire Council,Mount Worth,53502,Narracan,62,Eastern Victoria,2,21,42
Gannawarra,3568,Gannawarra Shire Council,Yarran,57204,Rodney,75,Northern Victoria,4,30,52
Gannawarra,3568,Gannawarra Shire Council,Yarran,57204,Swan Hill,82,Northern Victoria,4,13,25
Gapsted,3737,Alpine Shire Council,Unsubdivided,52201,Benalla,8,Northern Victoria,4,3,6
Gapsted,3737,Alpine Shire Council,Unsubdivided,52201,Benambra,9,Northern Victoria,4,64,120
Gardenvale,3185,Glen Eira City Council,Camden,54601,Caulfield,21,Southern Metropolitan,6,522,670
Garfield,3814,Cardinia Shire Council,Port,54302,Bass,5,Eastern Victoria,2,651,1163
Garfield North,3814,Cardinia Shire Council,Port,54302,Bass,5,Eastern Victoria,2,86,165
Garibaldi,3352,Golden Plains Shire Council,Unsubdivided,50501,Ballarat East,3,Western Victoria,8,49,72
Garvoc,3265,Corangamite Shire Council,Central,51601,Polwarth,70,Western Victoria,8,24,39
Garvoc,3265,Moyne Shire Council,Unsubdivided,51801,Polwarth,70,Western Victoria,8,71,129
Gateway Island,3691,Wodonga City Council,Unsubdivided,53301,Benambra,9,Northern Victoria,4,9,8
Gatum,3407,Southern Grampians Shire Council,Unsubdivided,52001,Lowan,46,Western Victoria,8,16,18
Gazette,3289,Moyne Shire Council,Unsubdivided,51801,South-West Coast,81,Western Victoria,8,1,2
Gazette,3289,Southern Grampians Shire Council,Unsubdivided,52001,Lowan,46,Western Victoria,8,22,47
Geelong,3220,Greater Geelong City Council,Brownbill,50603,Geelong,34,Western Victoria,8,2520,3108
Geelong,3220,Greater Geelong City Council,Kildare,50611,Geelong,34,Western Victoria,8,208,294
Geelong West,3218,Greater Geelong City Council,Brownbill,50603,Geelong,34,Western Victoria,8,3489,4673
Gelantipy,3885,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,36,Eastern Victoria,2,11,18
Gellibrand,3239,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,70,Western Victoria,8,118,163
Gellibrand Lower,3237,Corangamite Shire Council,Coastal,51602,Polwarth,70,Western Victoria,8,11,15
Gelliondale,3971,Wellington Shire Council,Unsubdivided,53901,Gippsland South,37,Eastern Victoria,2,14,21
Gembrook,3783,Cardinia Shire Council,Port,54302,Bass,5,Eastern Victoria,2,7,7
Gembrook,3783,Cardinia Shire Council,Port,54302,Gembrook,35,Eastern Victoria,2,2,1
Gembrook,3783,Cardinia Shire Council,Ranges,54303,Gembrook,35,Eastern Victoria,2,853,1538
Genoa,3891,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,36,Eastern Victoria,2,33,57
Georges Creek,3700,Towong Shire Council,Unsubdivided,53201,Benambra,9,Northern Victoria,4,28,55
Gerahmin,3546,Swan Hill Rural City Council,Murray-Mallee,57003,Swan Hill,82,Northern Victoria,4,9,22
Gerang Gerung,3418,Hindmarsh Shire Council,East,57301,Lowan,46,Western Victoria,8,40,66
Gerangamete,3249,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,70,Western Victoria,8,41,58
Germania,3387,Northern Grampians Shire Council,Central,57401,Ripon,74,Western Victoria,8,8,14
Germantown,3741,Alpine Shire Council,Unsubdivided,52201,Benalla,8,Northern Victoria,4,13,25
Gerrigerrup,3289,Moyne Shire Council,Unsubdivided,51801,South-West Coast,81,Western Victoria,8,16,26
Gherang,3240,Surf Coast Shire Council,Winchelsea,50104,Polwarth,70,Western Victoria,8,135,254
Gheringhap,3331,Golden Plains Shire Council,Unsubdivided,50501,Polwarth,70,Western Victoria,8,47,113
Ghin Ghin,3717,Murrindindi Shire Council,Koriella,53006,Seymour,78,Northern Victoria,4,29,41
Giffard,3851,Wellington Shire Council,Unsubdivided,53901,Gippsland South,37,Eastern Victoria,2,26,41
Giffard West,3851,Wellington Shire Council,Unsubdivided,53901,Gippsland South,37,Eastern Victoria,2,22,34
Gil Gil,3480,Buloke Shire Council,Mount Jeffcott,57103,Swan Hill,82,Northern Victoria,4,8,19
Gilderoy,3797,Yarra Ranges Shire Council,O'Shannassy,56206,Gembrook,35,Eastern Victoria,2,28,45
Gillieston,3616,Greater Shepparton City Council,Unsubdivided,52501,Rodney,75,Northern Victoria,4,18,42
Gillieston,3616,Greater Shepparton City Council,Unsubdivided,52501,Shepparton,79,Northern Victoria,4,5,12
Gipsy Point,3891,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,36,Eastern Victoria,2,17,15
Girgarre,3624,Campaspe Shire Council,Kyabram-Deakin,52302,Rodney,75,Northern Victoria,4,182,274
Girgarre,3624,Campaspe Shire Council,Waranga,52304,Rodney,75,Northern Victoria,4,80,128
Girgarre East,3616,Greater Shepparton City Council,Unsubdivided,52501,Rodney,75,Northern Victoria,4,49,81
Gisborne,3437,Macedon Ranges Shire Council,South,56602,Macedon,48,Northern Victoria,4,2945,5724
Gisborne South,3437,Macedon Ranges Shire Council,South,56602,Macedon,48,Northern Victoria,4,284,607
Gladfield,3575,Loddon Shire Council,Boort,56501,Swan Hill,82,Northern Victoria,4,10,16
Gladstone Park,3043,Hume City Council,Meadow Valley,54803,Yuroke,88,Western Metropolitan,7,3272,6129
Gladysdale,3797,Yarra Ranges Shire Council,O'Shannassy,56206,Gembrook,35,Eastern Victoria,2,158,302
Glen Alvie,3979,Bass Coast Shire Council,Leadbeater,53404,Bass,5,Eastern Victoria,2,68,112
Glen Creek,3691,Alpine Shire Council,Unsubdivided,52201,Benambra,9,Northern Victoria,4,21,37
Glen Forbes,3990,Bass Coast Shire Council,Leadbeater,53404,Bass,5,Eastern Victoria,2,48,78
Glen Huntly,3163,Glen Eira City Council,Rosstown,54602,Caulfield,21,Southern Metropolitan,6,973,1309
Glen Huntly,3163,Glen Eira City Council,Rosstown,54602,Oakleigh,68,Southern Metropolitan,6,1301,1231
Glen Iris,3146,Boroondara City Council,Gardiner,50703,Burwood,19,Southern Metropolitan,6,335,634
Glen Iris,3146,Boroondara City Council,Gardiner,50703,Hawthorn,39,Southern Metropolitan,6,1485,2534
Glen Iris,3146,Boroondara City Council,Lynden,50706,Burwood,19,Southern Metropolitan,6,802,1446
Glen Iris,3146,Boroondara City Council,Solway,50709,Burwood,19,Southern Metropolitan,6,2093,4181
Glen Iris,3146,Boroondara City Council,Solway,50709,Hawthorn,39,Southern Metropolitan,6,1227,2298
Glen Iris,3146,Stonnington City Council,East,51201,Malvern,49,Southern Metropolitan,6,4199,5991
Glen Park,3352,Ballarat City Council,North,50302,Ballarat East,3,Western Victoria,8,9,15
Glen Park,3352,Ballarat City Council,North,50302,Ballarat West,4,Western Victoria,8,14,21
Glen Park,3352,Moorabool Shire Council,Woodlands,50404,Ballarat East,3,Western Victoria,8,14,29
Glen Valley,3898,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,36,Eastern Victoria,2,11,17
Glen Waverley,3150,Monash City Council,Glen Waverley,55501,Forest Hill,32,Eastern Metropolitan,1,2708,4978
Glen Waverley,3150,Monash City Council,Glen Waverley,55501,Mount Waverley,59,South Eastern Metropolitan,5,6453,10766
Glen Waverley,3150,Monash City Council,Glen Waverley,55501,Scoresby,77,Eastern Metropolitan,1,1768,3483
Glen Waverley,3150,Monash City Council,Mount Waverley,55502,Mount Waverley,59,South Eastern Metropolitan,5,2165,3683
Glen Waverley,3150,Monash City Council,Mulgrave,55503,Mount Waverley,59,South Eastern Metropolitan,5,1474,2540
Glen Waverley,3150,Monash City Council,Oakleigh,55504,Clayton,22,South Eastern Metropolitan,5,323,524
Glenaire,3238,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,70,Western Victoria,8,19,27
Glenaladale,3864,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,36,Eastern Victoria,2,23,50
Glenalbyn,3517,Loddon Shire Council,Wedderburn,56505,Swan Hill,82,Northern Victoria,4,9,18
Glenaroua,3764,Mitchell Shire Council,North,52802,Seymour,78,Northern Victoria,4,57,112
Glenbrae,3352,Pyrenees Shire Council,Ercildoune,51904,Ripon,74,Western Victoria,8,14,20
Glenburn,3717,Murrindindi Shire Council,King Parrot,53004,Seymour,78,Northern Victoria,4,182,290
Glenburn,3717,Murrindindi Shire Council,Koriella,53006,Seymour,78,Northern Victoria,4,13,18
Glendaruel,3363,Ballarat City Council,North,50302,Ripon,74,Western Victoria,8,18,35
Glendonald,3364,Ballarat City Council,North,50302,Ripon,74,Western Victoria,8,3,5
Glenfalloch,3858,Wellington Shire Council,Unsubdivided,53901,Gippsland East,36,Eastern Victoria,2,1,1
Glenfyne,3266,Corangamite Shire Council,South-West,51605,Polwarth,70,Western Victoria,8,49,88
Glengarry,3854,Latrobe City Council,East,53702,Morwell,58,Eastern Victoria,2,329,629
Glengarry,3854,Wellington Shire Council,Unsubdivided,53901,Morwell,58,Eastern Victoria,2,80,177
Glengarry North,3854,Latrobe City Council,East,53702,Morwell,58,Eastern Victoria,2,77,151
Glengarry West,3854,Latrobe City Council,East,53702,Morwell,58,Eastern Victoria,2,42,75
Glengower,3370,Central Goldfields Shire Council,Tullaroop,56304,Ripon,74,Western Victoria,8,4,10
Glengower,3370,Hepburn Shire Council,Cameron,56402,Ripon,74,Western Victoria,8,5,7
Glenhope,3444,Mitchell Shire Council,North,52802,Seymour,78,Northern Victoria,4,23,40
Glenhope East,3522,Mitchell Shire Council,North,52802,Seymour,78,Northern Victoria,4,14,24
Glenisla,3314,Southern Grampians Shire Council,Unsubdivided,52001,Lowan,46,Western Victoria,8,16,22
Glenlee,3418,Hindmarsh Shire Council,East,57301,Lowan,46,Western Victoria,8,8,15
Glenlee,3418,Hindmarsh Shire Council,North,57302,Lowan,46,Western Victoria,8,23,51
Glenlofty,3469,Pyrenees Shire Council,De Cameron,51903,Ripon,74,Western Victoria,8,7,12
Glenlogie,3469,Ararat Rural City Council,Unsubdivided,51401,Ripon,74,Western Victoria,8,3,7
Glenlogie,3469,Pyrenees Shire Council,De Cameron,51903,Ripon,74,Western Victoria,8,9,10
Glenloth,3527,Buloke Shire Council,Lower Avoca,57101,Swan Hill,82,Northern Victoria,4,5,5
Glenloth East,3527,Buloke Shire Council,Mallee,57102,Swan Hill,82,Northern Victoria,4,5,8
Glenloth East,3527,Loddon Shire Council,Boort,56501,Swan Hill,82,Northern Victoria,4,3,3
Glenluce,3451,Mount Alexander Shire Council,Coliban,56703,Bendigo West,11,Northern Victoria,4,3,5
Glenluce,3451,Mount Alexander Shire Council,Loddon River,56704,Bendigo West,11,Northern Victoria,4,7,9
Glenlyon,3461,Hepburn Shire Council,Coliban,56403,Ballarat East,3,Western Victoria,8,1,1
Glenlyon,3461,Hepburn Shire Council,Holcombe,56405,Ballarat East,3,Western Victoria,8,193,282
Glenmaggie,3858,Wellington Shire Council,Unsubdivided,53901,Gippsland East,36,Eastern Victoria,2,150,229
Glenmore,3340,Moorabool Shire Council,Central Moorabool,50401,Ballarat East,3,Western Victoria,8,21,41
Glenorchy,3385,Northern Grampians Shire Council,Central,57401,Ripon,74,Western Victoria,8,62,97
Glenormiston North,3265,Corangamite Shire Council,Central,51601,Polwarth,70,Western Victoria,8,30,40
